tree_id,latitude,longitude
13144,40.73272167,-74.00469323
21198,40.8262092,-73.9501885
34072,40.73423373,-73.99341141
22625,40.76560279,-73.95744823
21204,40.82566584,-73.9488945
12756,40.73426092,-74.00313927
21235,40.76750368,-73.98085297
13145,40.73276423,-74.00455706
12759,40.7341806,-74.00367122
28450,40.73611518,-73.99340502
101077,40.79752891,-73.96397539
13165,40.73022637,-74.00635572
21234,40.7676275,-73.98114904
21236,40.76745421,-73.98073466
98254,40.80162494,-73.96496797
117196,40.79564256,-73.96376636
12757,40.73423142,-74.00333464
12758,40.73420978,-74.00347798
28451,40.73619455,-73.99334765
